Tiempo,Acetona %w,Etanol %w,Butanol %w,Reflujo,Flujo de salida lateral,Carga térmica
0,0.997005,0.98682,0.999365,20.3137,0.724048,81499.9
0.4,0.997003,0.98557,0.999241,15.7559,0.843315,63049.6
0.8,0.997001,0.982834,0.999002,11.2079,0.86915,45910
1.2,0.996995,0.979251,0.998719,6.68571,0.806897,29680.3
1.6,0.996978,0.975184,0.998369,2.194,0.657276,14616.3
2,0.996952,0.973653,0.996941,0,0.55113,9694.36
2.4,0.996857,0.971819,0.995281,0,0.40848,10364
2.8,0.996648,0.969228,0.994022,0,0.198911,10502.5
3.2,0.996263,0.965379,0.993041,0,0,10521.3
3.6,0.995598,0.959805,0.992269,0,0,10555.8
4,0.994504,0.95257,0.991655,0.0276608,0,10570.5
4.4,0.993173,0.944268,0.991172,0.757884,0,10584.7
4.8,0.992219,0.935627,0.990795,0.95137,0,10570.3
5.2,0.991435,0.92725,0.990495,1.01367,0,10582.5
5.6,0.990709,0.919722,0.990256,1.26235,0,10580.6
6,0.990061,0.913266,0.990058,1.60333,0,10705.7
6.4,0.989468,0.90878,0.989909,2.07407,0,10754.7
6.8,0.988915,0.906286,0.989796,2.67948,0,10761.3
7.2,0.988369,0.905528,0.989711,3.5145,0,10721.9
7.6,0.987822,0.905737,0.989646,4.60574,0,10652.5
8,0.987289,0.905986,0.98959,5.9249,0,10634.3
8.4,0.986775,0.905709,0.98956,7.39215,0,10520.2
8.8,0.986334,0.904893,0.989529,8.88481,0,10424.1
9.2,0.98597,0.9038,0.989508,10.339,0,10383.9
9.6,0.98568,0.902667,0.989489,11.7297,0,10289.8
10,0.98546,0.901052,0.98947,13.035,0,10226.1
10.4,0.985303,0.898609,0.989451,14.2533,0,10180.1
10.8,0.985191,0.894736,0.989441,15.3856,0,10122.7
11.2,0.985123,0.888484,0.989388,16.433,0,10429.7
11.6,0.985062,0.886351,0.98866,17.5152,0,17109.4
12,0.98503,0.887886,0.987765,18.5085,0,26760.9
12.4,0.985195,0.921969,0.986841,18.9201,0.300244,38469.3
12.8,0.985665,0.966768,0.986303,18.312,1.44778,48495.9
13.2,0.986383,0.979147,0.986292,16.7135,1.4481,54686.4
13.6,0.987207,0.981979,0.986723,14.4425,1.4481,56798.6
14,0.988019,0.982608,0.987514,11.8443,1.4481,54714.3
14.4,0.988724,0.982352,0.988587,9.19852,1.4481,48492.9
14.8,0.98928,0.981259,0.989649,6.69159,1.4481,40170
15.2,0.989686,0.979484,0.990633,4.40051,1.44809,30451.4
15.6,0.989947,0.97715,0.99142,2.37359,1.42189,20684
16,0.99008,0.975008,0.991908,0.625367,1.32494,12099.7
16.4,0.990113,0.973434,0.991506,0,1.21825,10805.6
16.8,0.990051,0.971072,0.991037,0,1.04781,10918.2
17.2,0.989878,0.967441,0.990691,0,0.777404,10877.5
17.6,0.989565,0.962481,0.990431,0,0.380686,10742.1
18,0.989092,0.95667,0.990212,0.269401,0,10677.1
18.4,0.988631,0.950504,0.990038,0.757244,0,10648.4
18.8,0.988328,0.944425,0.9899,0.981399,0,10654
19.2,0.988112,0.938758,0.989785,1.06488,0,10711.8
19.6,0.987909,0.933762,0.989681,1.19479,0,10851.3
20,0.987706,0.929793,0.989611,1.42909,0,10903.4
20.4,0.987501,0.927364,0.989561,1.75945,0,10905.4
20.8,0.987294,0.926213,0.989522,2.18267,0,10889.8
21.2,0.987086,0.925784,0.989494,2.70965,0,10849.4
21.6,0.986878,0.925383,0.989475,3.34531,0,10793
22,0.986669,0.924501,0.989457,4.07613,0,10748
22.4,0.986465,0.922991,0.989446,4.87544,0,10698.7
22.8,0.986285,0.920999,0.989438,5.69729,0,10617
23.2,0.986137,0.9191,0.989433,6.50211,0,10519.7
23.6,0.98602,0.917631,0.989428,7.27094,0,10467.1
24,0.98594,0.916269,0.989423,7.9903,0,10369.7
